## Generation 0 
{'pos_end_effector': array([ 2.30878023, -2.86022846]), 'dist_end_effector': -5.171701258765456, 'collision': False}
{'pos_end_effector': array([2.64329735, 2.3195183 ]), 'dist_end_effector': -5.19041187304152, 'collision': False}
{'pos_end_effector': array([ 0.26724536, -0.96279005]), 'dist_end_effector': -2.463202427557391, 'collision': False}
{'pos_end_effector': array([ 0.32847889, -0.97288763]), 'dist_end_effector': -2.523553901490615, 'collision': False}
{'pos_end_effector': array([ 2.66096906, -2.01931906]), 'dist_end_effector': -5.079594677858822, 'collision': False}
{'pos_end_effector': array([1.07608535, 0.41047155]), 'dist_end_effector': -3.10335108493231, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.05333763, -0.05319044]), 'dist_end_effector': -6.053571315977675, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.61329034, -3.02275935]), 'dist_end_effector': -6.375429597130472, 'collision': False}
{'pos_end_effector': array([ 0.72216595, -1.76844038]), 'dist_end_effector': -3.246162166611991, 'collision': False}
{'pos_end_effector': array([4.00892629, 3.63734438]), 'dist_end_effector': -7.024063583694707, 'collision': False}
{'pos_end_effector': array([ 3.42093076, -2.68114687]), 'dist_end_effector': -6.047730062728322, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.63264132, 0.85628998]), 'dist_end_effector': -6.687687446685869, 'collision': False}
{'pos_end_effector': array([-4.8495119 ,  0.63292384]), 'dist_end_effector': -2.9189571182943883, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.04381771, 2.01894262]), 'dist_end_effector': -6.37211596297512, 'collision': False}
{'pos_end_effector': array([0.22637241, 0.01238311]), 'dist_end_effector': -2.2264068448547345, 'collision': False}
{'pos_end_effector': array([4.63264132, 0.85628998]), 'dist_end_effector': -6.687687446685869, 'collision': False}
{'pos_end_effector': array([0.24254192, 2.70578359]), 'dist_end_effector': -3.514293546414018, 'collision': False}
{'pos_end_effector': array([ 3.18299827, -2.6340788 ]), 'dist_end_effector': -5.813935173845098, 'collision': False}
{'pos_end_effector': array([ 0.9959133 , -3.72467784]), 'dist_end_effector': -4.780033635406161, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.05333763, -0.05319044]), 'dist_end_effector': -6.053571315977675, 'collision': False}
{'pos_end_effector': array([0.05548701, 1.31949278]), 'dist_end_effector': -2.4425576877602184, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.22430361, -0.464142  ]), 'dist_end_effector': -4.249725727505293, 'collision': False}
{'pos_end_effector': array([3.90829179, 2.35686907]), 'dist_end_effector': -6.36103322494997, 'collision': False}
{'pos_end_effector': array([-0.11067817,  2.8552894 ]), 'dist_end_effector': -3.4237719758367917, 'collision': False}
{'pos_end_effector': array([ 1.10644368, -3.04349192]), 'dist_end_effector': -4.3488889878483725, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-4.28214003,  3.17479468]), 'dist_end_effector': -3.909921278541285, 'collision': False}
{'pos_end_effector': array([-2.36209528, -2.33172465]), 'dist_end_effector': -2.359672184449428, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.92456189, -0.28380684]), 'dist_end_effector': -1.1122560228422504, 'collision': False}
{'pos_end_effector': array([-0.44423338,  4.17622097]), 'dist_end_effector': -4.456594147593114, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([6.16937447, 0.39536541]), 'dist_end_effector': -8.17893593866011, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.1262904 , 2.85104216]), 'dist_end_effector': -4.231091236300729, 'collision': False}
{'pos_end_effector': array([0.22637241, 0.01238311]), 'dist_end_effector': -2.2264068448547345, 'collision': False}
{'pos_end_effector': array([-2.70686894,  5.74040863]), 'dist_end_effector': -5.783766501891099, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.98574096, -2.35664203]), 'dist_end_effector': -4.630323166219163, 'collision': False}
{'pos_end_effector': array([ 1.41694733, -1.41427712]), 'dist_end_effector': -3.69806825719613, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.39089705, -4.27155998]), 'dist_end_effector': -6.878080815604198, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.87065647, -0.37812299]), 'dist_end_effector': -2.8954525680618803, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.14059267,  2.01476495]), 'dist_end_effector': -2.741655231522002, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.36083443, -0.76641211]), 'dist_end_effector': -4.427670321351531, 'collision': False}
{'pos_end_effector': array([-1.63258174, -4.83662662]), 'dist_end_effector': -4.850562160620204, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.22637241, 0.01238311]), 'dist_end_effector': -2.2264068448547345, 'collision': False}
{'pos_end_effector': array([0.59116084, 6.42077925]), 'dist_end_effector': -6.923909344632549, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.88322814, -3.77180262]), 'dist_end_effector': -5.413497559388504, 'collision': False}
{'pos_end_effector': array([-1.73808467, -1.57518126]), 'dist_end_effector': -1.5968079525364336, 'collision': False}
{'pos_end_effector': array([ 1.16111687, -1.52747255]), 'dist_end_effector': -3.5108164625359013, 'collision': False}
{'pos_end_effector': array([-1.64879228, -5.02941345]), 'dist_end_effector': -5.041661082961394, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.30526531, -2.37018574]), 'dist_end_effector': -3.30636183568811, 'collision': False}
{'pos_end_effector': array([-1.62635542, -4.83895541]), 'dist_end_effector': -4.853359633618301, 'collision': False}
{'pos_end_effector': array([4.98196856, 1.91441964]), 'dist_end_effector': -7.23967454071949, 'collision': False}
{'pos_end_effector': array([2.64636446, 1.90326298]), 'dist_end_effector': -5.021066882959214, 'collision': False}
{'pos_end_effector': array([ 0.7052982, -3.1197889]), 'dist_end_effector': -4.129372971911184, 'collision': False}
{'pos_end_effector': array([ 1.26191262, -0.34558912]), 'dist_end_effector': -3.280168557111941, 'collision': False}
{'pos_end_effector': array([ 4.15941786, -0.45102636]), 'dist_end_effector': -6.175909096416875, 'collision': False}
{'pos_end_effector': array([ 1.04780242, -3.2997488 ]), 'dist_end_effector': -4.491930732353205, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.03365027,  1.9724069 ]), 'dist_end_effector': -2.785124811786028, 'collision': False}
{'pos_end_effector': array([-1.57769092, -1.15124033]), 'dist_end_effector': -1.2262541548290742, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.26914494, -2.31134263]), 'dist_end_effector': -5.753798149951823, 'collision': False}
{'pos_end_effector': array([2.3974533 , 4.57069836]), 'dist_end_effector': -6.342623985762838, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.03365027,  1.9724069 ]), 'dist_end_effector': -2.785124811786028, 'collision': False}
{'pos_end_effector': array([ 1.31657313, -1.59420003]), 'dist_end_effector': -3.6798275815066734, 'collision': False}
{'pos_end_effector': array([3.34354166, 0.08252041]), 'dist_end_effector': -5.344178806324691, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.46298199, 0.42802161]), 'dist_end_effector': -3.4893332827411205, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.22853166, -3.92531477]), 'dist_end_effector': -5.0824711222789425, 'collision': False}
{'pos_end_effector': array([ 0.30526531, -2.37018574]), 'dist_end_effector': -3.30636183568811, 'collision': False}
{'pos_end_effector': array([ 4.21501843, -0.02705572]), 'dist_end_effector': -6.215077317975017, 'collision': False}
{'pos_end_effector': array([-1.57769092, -1.15124033]), 'dist_end_effector': -1.2262541548290742, 'collision': False}
{'pos_end_effector': array([-1.18196496, -3.73039521]), 'dist_end_effector': -3.819035186689549, 'collision': False}
{'pos_end_effector': array([0.4871865 , 0.96767455]), 'dist_end_effector': -2.668799487649911, 'collision': False}
{'pos_end_effector': array([-0.72343562,  1.31580602]), 'dist_end_effector': -1.83329269440163, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([7.77406413, 3.83622206]), 'dist_end_effector': -10.499949019207065, 'collision': False}
{'pos_end_effector': array([0.02096236, 1.74956874]), 'dist_end_effector': -2.6730655897901325, 'collision': False}
{'pos_end_effector': array([-2.55483236,  4.76179416]), 'dist_end_effector': -4.794009034073119, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.91238917, -1.57646267]), 'dist_end_effector': -5.159147404285428, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([2.82576223, 3.0351455 ]), 'dist_end_effector': -5.700884957831813, 'collision': False}
{'pos_end_effector': array([ 2.35565659, -3.74229815]), 'dist_end_effector': -5.7425203328990575, 'collision': False}
{'pos_end_effector': array([ 1.22853166, -3.92531477]), 'dist_end_effector': -5.0824711222789425, 'collision': False}
{'pos_end_effector': array([0.88570319, 2.04226293]), 'dist_end_effector': -3.5352681303981375, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.55025532, -1.77050933]), 'dist_end_effector': -3.104594252477927, 'collision': False}
{'pos_end_effector': array([ 1.31657313, -1.59420003]), 'dist_end_effector': -3.6798275815066734, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
