## Generation 0 
{'pos_end_effector': array([1.79649365, 1.87049716]), 'dist_end_effector': -4.232271689665995, 'collision': False}
{'pos_end_effector': array([ 0.52149   , -3.04135401]), 'dist_end_effector': -3.9506639996833575, 'collision': False}
{'pos_end_effector': array([ 2.98486704, -1.304148  ]), 'dist_end_effector': -5.1526402324030185, 'collision': False}
{'pos_end_effector': array([0.22877213, 2.80086197]), 'dist_end_effector': -3.5794207603156125, 'collision': False}
{'pos_end_effector': array([3.09975558, 1.58861907]), 'dist_end_effector': -5.341462111897575, 'collision': False}
{'pos_end_effector': array([1.72121878, 1.92866847]), 'dist_end_effector': -4.191328108409642, 'collision': False}
{'pos_end_effector': array([ 0.33294303, -0.6015159 ]), 'dist_end_effector': -2.4092414947663126, 'collision': False}
{'pos_end_effector': array([-2.12063592,  2.39597107]), 'dist_end_effector': -2.399006127875683, 'collision': False}
{'pos_end_effector': array([3.17386675, 1.85210973]), 'dist_end_effector': -5.495380568485589, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.04408645, -0.13340369]), 'dist_end_effector': -5.045850241563856, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.9915935 , -4.59520109]), 'dist_end_effector': -7.550832120113063, 'collision': False}
{'pos_end_effector': array([ 2.64044381, -1.63617457]), 'dist_end_effector': -4.920445703668349, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.73150184, 0.11883595]), 'dist_end_effector': -2.734085636274952, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.44468529, 0.60105681]), 'dist_end_effector': -2.5174899115793363, 'collision': False}
{'pos_end_effector': array([ 2.36747295, -3.0897888 ]), 'dist_end_effector': -5.349917271766468, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.22390553,  3.42569788]), 'dist_end_effector': -3.5125102958963095, 'collision': False}
{'pos_end_effector': array([-3.23454777, -5.24290191]), 'dist_end_effector': -5.386290806430609, 'collision': False}
