## Generation 0 
{'pos_end_effector': array([ 0.39922454, -3.12237491]), 'dist_end_effector': -3.937702812740932, 'collision': False}
{'pos_end_effector': array([ 4.77644948, -2.80461418]), 'dist_end_effector': -7.3339026583996505, 'collision': False}
{'pos_end_effector': array([3.13365991, 1.17322028]), 'dist_end_effector': -5.266014614080336, 'collision': False}
{'pos_end_effector': array([ 1.94409108, -1.64637066]), 'dist_end_effector': -4.273919840339303, 'collision': False}
{'pos_end_effector': array([-0.35390414,  1.71508535]), 'dist_end_effector': -2.3772146194046515, 'collision': False}
{'pos_end_effector': array([-1.00584907, -1.61478777]), 'dist_end_effector': -1.8962794118884942, 'collision': False}
{'pos_end_effector': array([ 2.79523804, -0.84549713]), 'dist_end_effector': -4.869206639737497, 'collision': False}
{'pos_end_effector': array([-0.71570047, -1.95010331]), 'dist_end_effector': -2.335022100156767, 'collision': False}
{'pos_end_effector': array([-2.95883192, -4.16511323]), 'dist_end_effector': -4.274052748550087, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.62110407, -4.26120062]), 'dist_end_effector': -7.053697025745201, 'collision': False}
{'pos_end_effector': array([ 1.01196503, -2.78479253]), 'dist_end_effector': -4.102072983668924, 'collision': False}
{'pos_end_effector': array([ 2.48387006, -0.35005386]), 'dist_end_effector': -4.497513586718454, 'collision': False}
{'pos_end_effector': array([2.04589201, 1.31506737]), 'dist_end_effector': -4.254250147446525, 'collision': False}
{'pos_end_effector': array([-1.9682024 , -4.56345079]), 'dist_end_effector': -4.56356156938993, 'collision': False}
{'pos_end_effector': array([ 3.16268656, -2.11857671]), 'dist_end_effector': -5.580474871710789, 'collision': False}
{'pos_end_effector': array([ 0.25287728, -0.3340976 ]), 'dist_end_effector': -2.2775155894849957, 'collision': False}
{'pos_end_effector': array([1.95063966, 1.16982708]), 'dist_end_effector': -4.120200135833928, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-3.96520736,  1.61159926]), 'dist_end_effector': -2.5415137557380145, 'collision': False}
{'pos_end_effector': array([-0.25660267, -2.20045218]), 'dist_end_effector': -2.8073874050139596, 'collision': False}
{'pos_end_effector': array([ 0.06363718, -3.92211227]), 'dist_end_effector': -4.431880310053194, 'collision': False}
{'pos_end_effector': array([4.68711369, 3.53721464]), 'dist_end_effector': -7.565010044534165, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([4.79627103, 4.46850333]), 'dist_end_effector': -8.133684400473083, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.66181795, 1.68331314]), 'dist_end_effector': -3.1494154898384212, 'collision': False}
{'pos_end_effector': array([-0.24486329, -5.95757542]), 'dist_end_effector': -6.210733434400669, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.20022083, -2.25245608]), 'dist_end_effector': -6.596688319136871, 'collision': False}
{'pos_end_effector': array([0.52868253, 3.65415032]), 'dist_end_effector': -4.443765283954534, 'collision': False}
{'pos_end_effector': array([3.65376578, 1.54601036]), 'dist_end_effector': -5.861332233029558, 'collision': False}
{'pos_end_effector': array([3.55963785, 1.52572957]), 'dist_end_effector': -5.765190694325294, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([1.19077105, 0.58508358]), 'dist_end_effector': -3.2439702024608468, 'collision': False}
{'pos_end_effector': array([4.33839238, 1.84053041]), 'dist_end_effector': -6.600209855662119, 'collision': False}
{'pos_end_effector': array([4.59824086, 0.18804942]), 'dist_end_effector': -6.600920013214868, 'collision': False}
{'pos_end_effector': array([ 0.15628697, -5.78469222]), 'dist_end_effector': -6.173510956462816, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.9682024 , -4.56345079]), 'dist_end_effector': -4.56356156938993, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.34589778, -0.24426742]), 'dist_end_effector': -2.3585807123600593, 'collision': False}
{'pos_end_effector': array([ 3.20850336, -0.92277437]), 'dist_end_effector': -5.289614337749593, 'collision': False}
{'pos_end_effector': array([-3.39733686,  2.60189688]), 'dist_end_effector': -2.9533739490063757, 'collision': False}
